product_id,product_name,product_type,unit_size,brand,supplier,price,date_received,batch_number,expiration_date
P0724,IV Fluid 1L,Perishable,11kg,Sanicare,MediCare Distributors,543.29,2018-06-15,BATCH-4779,2019-02-04
P0225,Rice 25kg,Dry Goods,500ml,Sanicare,FoodLine Services,637.68,2019-10-14,BATCH-2691,2022-05-24
P0661,Powdered Milk 1kg,Dry Goods,500ml,PrimeGas,FreshHarvest Co.,1375.96,2022-07-13,BATCH-2141,2025-02-17
P0461,Bottled Water 500ml,Perishable,1kg,SafePlus,AquaLife Corp.,820.2,2018-07-13,BATCH-6665,2020-06-24
P0182,Medical Gloves Box,Non-perishable,1L,Generic,FreshHarvest Co.,756.01,2018-04-06,BATCH-1810,2019-04-29
P0320,Powdered Milk 1kg,Dry Goods,500ml,Generic,Global Supply Ltd.,874.5,2018-05-09,BATCH-5548,2020-07-06
P0760,Canned Tuna 155g,Non-perishable,1 box,Nestle,AquaLife Corp.,431.43,2017-03-15,BATCH-6511,2019-10-26
P0089,Medical Gloves Box,Perishable,500ml,Dole,MediCare Distributors,1176.82,2018-08-27,BATCH-7242,2020-04-03
P0761,Bottled Water 500ml,Non-perishable,25kg,MediHealth,SafeMeds Inc.,1005.34,2024-06-26,BATCH-3166,2026-04-07
P0689,Powdered Milk 1kg,Non-perishable,1 pack,Nestle,FreshHarvest Co.,1293.56,2024-07-12,BATCH-3075,2025-12-17
P0368,Rice 25kg,Consumable,1 box,Dole,AquaLife Corp.,577.44,2023-11-13,BATCH-3760,2026-04-18
P0129,Canned Tuna 155g,Non-perishable,155g,PrimeGas,FoodLine Services,869.68,2023-04-19,BATCH-7548,2024-04-25
P0471,Medical Gloves Box,Dry Goods,1 pack,Nestle,AquaLife Corp.,309.88,2022-05-11,BATCH-7557,2024-04-14
P0119,Rice 25kg,Perishable,25kg,Generic,AquaLife Corp.,649.3,2022-11-04,BATCH-5795,2025-08-28
P0593,Canned Tuna 155g,Consumable,250ml,Nestle,Global Supply Ltd.,503.75,2020-07-11,BATCH-5416,2023-03-26
P0170,Rice 25kg,Consumable,1 pack,MediHealth,FoodLine Services,735.11,2021-07-24,BATCH-9250,2024-01-04
P0979,Gas Tank 11kg,Beverage,500ml,Generic,AquaLife Corp.,925.04,2021-09-06,BATCH-3709,2024-08-21
P0525,Paper Towels,Non-perishable,1kg,MediHealth,AquaLife Corp.,1254.45,2019-07-15,BATCH-7821,2020-07-23
P0513,Hand Sanitizer 250ml,Consumable,11kg,Dole,SafeMeds Inc.,606.14,2017-05-29,BATCH-2384,2017-11-30
P0251,Paper Towels,Beverage,155g,Nestle,AquaLife Corp.,806.14,2018-10-12,BATCH-8956,2019-07-10
P0723,Gas Tank 11kg,Beverage,1 box,Nestle,FreshHarvest Co.,1462.15,2019-07-03,BATCH-6881,2022-03-01
P0743,Isopropyl Alcohol 500ml,Beverage,1 box,Dole,SafeMeds Inc.,1195.31,2021-01-05,BATCH-5404,2021-12-15
P0431,Medical Gloves Box,Consumable,11kg,Nestle,AquaLife Corp.,991.77,2022-09-25,BATCH-2098,2024-03-03
P0270,IV Fluid 1L,Beverage,11kg,Generic,FoodLine Services,1154.35,2019-07-11,BATCH-7335,2021-09-20
P0947,Hand Sanitizer 250ml,Dry Goods,25kg,Nestle,Global Supply Ltd.,1265.45,2018-11-05,BATCH-6957,2021-06-24
P0031,Gas Tank 11kg,Consumable,1 box,PrimeGas,SafeMeds Inc.,603.78,2019-08-10,BATCH-5055,2021-11-27
P0636,Canned Tuna 155g,Perishable,1 box,Generic,MediCare Distributors,932.24,2021-06-13,BATCH-8191,2022-09-26
P0471,IV Fluid 1L,Dry Goods,11kg,SafePlus,Global Supply Ltd.,321.57,2021-07-03,BATCH-9464,2022-03-08
P0502,IV Fluid 1L,Perishable,250ml,SafePlus,MediCare Distributors,675.62,2020-11-07,BATCH-7557,2023-07-25
P0596,Rice 25kg,Non-perishable,25kg,Dole,Global Supply Ltd.,366.08,2021-11-27,BATCH-1833,2024-07-03
P0159,Paper Towels,Dry Goods,155g,Nestle,AquaLife Corp.,1398.59,2023-03-18,BATCH-5269,2024-08-16
P0053,IV Fluid 1L,Perishable,11kg,Generic,AquaLife Corp.,1183.68,2023-02-11,BATCH-8953,2024-09-12
P0105,Paper Towels,Beverage,11kg,MediHealth,SafeMeds Inc.,661.86,2021-07-24,BATCH-1780,2022-03-29
P0661,Isopropyl Alcohol 500ml,Perishable,25kg,Nestle,MediCare Distributors,404.98,2022-08-22,BATCH-5462,2025-01-19
P0308,IV Fluid 1L,Non-perishable,250ml,Dole,MediCare Distributors,985.63,2023-09-30,BATCH-4000,2025-03-04
P0337,Hand Sanitizer 250ml,Consumable,500ml,Generic,Global Supply Ltd.,544.58,2024-06-14,BATCH-4788,2025-08-07
P0490,Paper Towels,Perishable,1kg,Generic,FreshHarvest Co.,1096.55,2018-04-06,BATCH-3313,2019-01-20
P0512,Hand Sanitizer 250ml,Beverage,1 box,Sanicare,SafeMeds Inc.,207.44,2020-07-26,BATCH-2839,2021-04-25
P0780,Isopropyl Alcohol 500ml,Non-perishable,1L,SafePlus,MediCare Distributors,207.17,2023-02-12,BATCH-7732,2025-07-03
P0512,Paper Towels,Consumable,500ml,Sanicare,MediCare Distributors,669.97,2024-07-11,BATCH-7947,2025-05-12
P0358,Hand Sanitizer 250ml,Perishable,11kg,PrimeGas,SafeMeds Inc.,684.86,2017-04-11,BATCH-2805,2018-04-21
P0054,Hand Sanitizer 250ml,Non-perishable,1 box,Generic,FreshHarvest Co.,464.91,2024-03-29,BATCH-9834,2024-12-16
P0116,Powdered Milk 1kg,Beverage,155g,PrimeGas,FreshHarvest Co.,661.13,2023-04-01,BATCH-8405,2025-10-30
P0060,Paper Towels,Beverage,1kg,PrimeGas,SafeMeds Inc.,1062.14,2019-08-18,BATCH-4509,2021-06-26
P0166,Canned Tuna 155g,Dry Goods,500ml,Sanicare,Global Supply Ltd.,431.19,2017-01-14,BATCH-7172,2019-08-01
P0968,IV Fluid 1L,Non-perishable,1L,Nestle,AquaLife Corp.,1296.67,2019-08-10,BATCH-8151,2020-07-26
P0855,Gas Tank 11kg,Dry Goods,1L,SafePlus,SafeMeds Inc.,228.61,2023-12-17,BATCH-8499,2026-07-21
P0758,Isopropyl Alcohol 500ml,Perishable,1kg,Generic,FoodLine Services,201.92,2024-03-13,BATCH-3483,2026-06-16
P0294,Powdered Milk 1kg,Consumable,250ml,SafePlus,SafeMeds Inc.,1225.79,2023-09-09,BATCH-7735,2024-09-17
